ID,Treatment,Age,TreatmentxAge,Abundance,ASV,Family,Genus
T20-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T20-S-1,Probiotics,Spat,ProbioticsSpat,13,ASV376,Rhodobacteraceae,Oceanicella
T20-S-2,Probiotics,Spat,ProbioticsSpat,15,ASV376,Rhodobacteraceae,Oceanicella
T21-1,Probiotics HT,Day 01,Probiotics HTDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T21-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T21-3,Probiotics HT,Day 03,Probiotics HTDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T21-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T21-S-1,Probiotics HT,Spat,Probiotics HTSpat,31,ASV376,Rhodobacteraceae,Oceanicella
T21-S-2,Probiotics HT,Spat,Probiotics HTSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T3-1,Probiotics HT,Day 01,Probiotics HTDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T3-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T3-3,Probiotics HT,Day 03,Probiotics HTDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T3-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T3-S-1,Probiotics HT,Spat,Probiotics HTSpat,7,ASV376,Rhodobacteraceae,Oceanicella
T3-S-2,Probiotics HT,Spat,Probiotics HTSpat,6,ASV376,Rhodobacteraceae,Oceanicella
T7-15,Control,Day 15,ControlDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T7-3,Control,Day 03,ControlDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T7-6,Control,Day 06,ControlDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T7-S-1,Control,Spat,ControlSpat,5,ASV376,Rhodobacteraceae,Oceanicella
T7-S-2,Control,Spat,ControlSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T8-1,Probiotics,Day 01,ProbioticsDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T8-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T8-3,Probiotics,Day 03,ProbioticsDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T8-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T8-S-1,Probiotics,Spat,ProbioticsSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T8-S-2,Probiotics,Spat,ProbioticsSpat,11,ASV376,Rhodobacteraceae,Oceanicella
T9-1,Probiotics HT,Day 01,Probiotics HTDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T9-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T9-3,Probiotics HT,Day 03,Probiotics HTDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T9-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T9-S-1,Probiotics HT,Spat,Probiotics HTSpat,7,ASV376,Rhodobacteraceae,Oceanicella
T9-S-2,Probiotics HT,Spat,Probiotics HTSpat,14,ASV376,Rhodobacteraceae,Oceanicella
